uid,nickname,time,star,comment
2113275984,r***4,2020-06-03 18:30:06,1,货都没有收到，自动显示我已收货。打了几个电话给快递员，快递员都不接电话，究竟怎么回事呢？！
-498657584,j***D,2020-05-28 04:25:53,1,同等价格跟罐装的太差了
1386098564,j***4,2020-05-26 11:08:22,1,里面的薯片都是黑黑的，都是一些不好的薯片，用来做这个活动。第一次用京东，就这样？
830988618,King_299,2020-05-19 20:44:03,1,买来直接炸开的  不明白是什么意思
1616295327,b***6,2020-03-31 22:04:34,1,里面有几片土豆片是绿色的，所以吃的时候最好不要看电视什么的，以后不会再买薯片了，本来热量就高用料还这么不讲究，有毒土豆都放进去做薯片。
-19859579,小康的桃子,2020-03-30 19:29:54,1,全部爆开了
302760526,j***1,2020-03-17 18:39:12,1,此用户未填写评价内容
-593175092,CdpHejUsccLG,2020-03-17 10:47:28,1,包装写着乐事薯片，怎么喜欢暴露这些玩意?
-1398477304,jd_胡小龙,2020-03-03 09:12:57,1,呵呵
-100886614,jd_892695379,2020-02-15 20:56:32,1,没收到货？！！！失踪了直接给我收货了
1977527799,史努比大狗,2020-02-05 11:12:58,1,1月20号下的单，吃完了才知道是武汉产的，怪不得很便宜！
985911703,c***1,2020-02-04 17:48:22,1,非常糟糕的货物调配机制，提前下单买了几十样东西，疫情期间没有口罩没有酒精，所以不敢出门，在京东买就是因为没有口罩和酒精要减少出门次数！结果几十件东西，分n天送，一个单子的东西，上午送一次，下午送一次，出去小区门口n趟取东西，昨天上午取了4个包裹还可以，昨天下午单取1件，今天上午单取了一块肉，下午再去单取一份豆腐！未来几天每天遛两趟！明明东西都到配送站了还要分批！问plus会员客服，能不能帮忙协调一下，不要这么分散，客服说你可以自己协调！那请问你的客服工作就只是复制粘贴制式答案吗！收plus会员费是用来遛老客户的嘛！
1736346641,燕舞花溪剑,2020-01-31 21:46:38,1,非常不好买过又降价。降了好几块。真是不划算。
-435197788,j***y,2020-01-31 13:03:25,1,没收到货呀，只收到一瓶护发素没有客服只能这里评了
